question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,You can track your order using the tracking link sent to your email.
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
How long does standard shipping take?,"Standard shipping usually takes 3-5 business days."
Is express shipping available?,"Yes, express shipping is available at checkout for faster delivery."
Do you ship on weekends?,"Orders are only processed and shipped on business days (Monday to Friday)."
What are the domestic shipping charges?,"Shipping charges vary based on order value and destination."
Is free shipping available?,"Yes, free standard shipping is available on orders over $50."
How do I change my delivery address?,"You can update your address from your account before the order ships."
What happens if I am not at home during delivery?,"The courier will attempt redelivery or leave a notice for collection."
Can I schedule a specific delivery time?,"Scheduled delivery is available only for select pin codes at checkout."
Do you deliver to P.O. boxes?,"Yes, we deliver to standard P.O. boxes via postal services."
Why is my shipment delayed?,"Delays can occur due to weather, high holiday volume, or courier issues."
Which courier partners do you use?,"We partner with FedEx, DHL, UPS, and reliable local logistics services."
Can I ship items to multiple addresses in one order?,"No, you will need to place separate orders for different shipping addresses."
Do I need to sign for my delivery?,"Signatures are required for high-value items or express deliveries."
What is overnight shipping?,"Overnight shipping guarantees next-business-day delivery if placed before 2 PM."
How do I know if an item is available for local delivery?,"Enter your postal code on the product page to check local delivery eligibility."
Are there extra charges for remote areas?,"Additional surcharge fees may apply for remote or island locations."
Can I request the courier to leave the package at my door?,"Yes, you can specify delivery instructions during checkout."
What should I do if my package says delivered but I haven't received it?,"Check around your property and ask neighbors before contacting support."
How do international customs taxes work?,"Customs duties and taxes are calculated at checkout or paid upon delivery depending on the country."
Do you offer same-day delivery?,"Same-day delivery is available in select metro cities for orders placed before 11 AM."
Can I pick up my order from a nearby store?,"Yes, select 'Store Pickup' at checkout if a store is available near you."
What items cannot be shipped internationally?,"Perishables, hazardous materials, and restricted electronics cannot be shipped internationally."
How are bulky items delivered?,"Bulky items are delivered via specialized freight carriers with appointment scheduling."
Will all items in my order arrive together?,"Items may ship separately if sent from different fulfillment warehouses."
What happens if my package is lost in transit?,"We will launch an investigation with the carrier and send a replacement if verified lost."
How do I initiate a return?,"Log in to your account, go to 'My Orders', and click on 'Return Item'."
What is the return window for clothing?,"Clothing items can be returned within 30 days of receipt."
